epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.3529,0.8554,0.91173,0.99879,0.27786,0.000236767,0.000236767,0.000236767
2,29.638,0.37363,0.92382,0.99879,0.2258,0.000451266,0.000451266,0.000451266
3,42.6488,0.36568,0.9081,1,0.27596,0.000642203,0.000642203,0.000642203
4,55.8803,0.36828,0.91173,0.99758,0.30784,0.000607971,0.000607971,0.000607971
5,69.7869,0.35238,0.92382,0.99879,0.25979,0.000572628,0.000572628,0.000572628
6,83.892,0.29092,0.93229,1,0.22078,0.000537285,0.000537285,0.000537285
7,96.9891,0.27031,0.93349,1,0.22618,0.000501942,0.000501942,0.000501942
8,112.481,0.2467,0.93349,0.99758,0.22383,0.000466599,0.000466599,0.000466599
9,124.769,0.2176,0.92624,1,0.24748,0.000431256,0.000431256,0.000431256
10,137.738,0.17998,0.93954,1,0.22348,0.000395913,0.000395913,0.000395913
11,177.388,0.15115,0.94196,0.99879,0.22522,0.00036057,0.00036057,0.00036057
12,190.43,0.14411,0.95163,1,0.18616,0.000325227,0.000325227,0.000325227
13,203.114,0.14503,0.95526,0.99879,0.15109,0.000289884,0.000289884,0.000289884
14,216.499,0.13206,0.96252,1,0.13128,0.000254541,0.000254541,0.000254541
15,230.039,0.10874,0.95284,1,0.18204,0.000219198,0.000219198,0.000219198
16,242.573,0.08724,0.94921,1,0.17604,0.000183855,0.000183855,0.000183855
17,256.666,0.08211,0.9468,1,0.1789,0.000148512,0.000148512,0.000148512
18,269.292,0.07474,0.9601,1,0.17138,0.000113169,0.000113169,0.000113169
19,281.978,0.05785,0.96131,1,0.16935,7.7826e-05,7.7826e-05,7.7826e-05
20,294.849,0.075,0.96252,1,0.16241,4.2483e-05,4.2483e-05,4.2483e-05
